Title,DOI,State,Created,PubDate,URL
The Emergence of the Universe:  From Vacuum Floor to de Sitter Equilibrium,10.5281/zenodo.20063117,done,2026-05-07,2026-05-07,https://zenodo.org/records/20063117
The Fine Structure Constant Is a Rotation Rate,10.5281/zenodo.20047458,done,2026-05-06,2026-05-06,https://zenodo.org/records/20047458
The σ² Theorem,10.5281/zenodo.19917820,done,2026-04-30,2026-04-30,https://zenodo.org/records/19917820
The Quark Mass Sector Closes,10.5281/zenodo.19875305,done,2026-04-29,2026-04-29,https://zenodo.org/records/19875305
Newton as a Character Identity on 2I,10.5281/zenodo.19849388,done,2026-04-28,2026-04-28,https://zenodo.org/records/19849388
The KSS Ratio for Spacetime Is 12π/17,10.5281/zenodo.19828781,done,2026-04-27,2026-04-27,https://zenodo.org/records/19828781
The Galois Boundary - From Geometric Partition to Gravitational Thermodynamics,10.5281/zenodo.19816713,done,2026-04-27,2026-04-27,https://zenodo.org/records/19816713
The Edinburgh Constant and the Phyllotactic Universe,10.5281/zenodo.19795164,done,2026-04-26,2026-04-26,https://zenodo.org/records/19795164
The Bridge Lines - Architecture and Calibration of the Pentagon Physics Geometric Framework,10.5281/zenodo.19787763,done,2026-04-26,2026-04-26,https://zenodo.org/records/19787763
The Other Side of Gravity from the 600-Cell Laplacian,10.5281/zenodo.19766664,done,2026-04-25,2026-04-25,https://zenodo.org/records/19766664
The Fine Structure Constant Is Not a Coupling,10.5281/zenodo.19705712,done,2026-04-23,2026-04-23,https://zenodo.org/records/19705712
Solving Alpha,10.5281/zenodo.19681273,done,2026-02,2026-02,https://zenodo.org/records/19681273
The Shadows of E = mc² - Deconstructed,10.5281/zenodo.19666669,done,2026-04-20,2026-04-20,https://zenodo.org/records/19666669
The Four Forces and the Nucleons,10.5281/zenodo.19653779,done,2026-04-19,2026-04-19,https://zenodo.org/records/19653779
The Lattice Between,10.5281/zenodo.19631647,done,2026-04-17,2026-04-17,https://zenodo.org/records/19631647
The Pion Decay Constant Is Derived.,10.5281/zenodo.19629725,done,2026-04-17,2026-04-17,https://zenodo.org/records/19629725
What will MUSE and PRad II Measure?,10.5281/zenodo.19625431,done,2026-04-17,2026-04-17,https://zenodo.org/records/19625431
Inside the Resonant Cavity,10.5281/zenodo.19605364,done,2026-04-16,2026-04-16,https://zenodo.org/records/19605364
The Atom Is E₈,10.5281/zenodo.19581839,done,2026-04-14,2026-04-14,https://zenodo.org/records/19581839
Spin-Orbit Derived and Explained,10.5281/zenodo.19571686,done,2026-04-14,2026-04-14,https://zenodo.org/records/19571686
Einstein and Maxwell Unified,10.5281/zenodo.19557759,done,2026-04-13,2026-04-13,https://zenodo.org/records/19557759
Entanglement Does Not Exist,10.5281/zenodo.19533587,done,2026-04-12,2026-04-12,https://zenodo.org/records/19533587
"Two Frameworks, One Metric. One Equation",10.5281/zenodo.19512740,done,2026-04-11,2026-04-11,https://zenodo.org/records/19512740
A Zero-Parameter Derivation of the Ultra-Light Dark Matter Mass,10.5281/zenodo.19510798,done,2026-04-11,2026-04-11,https://zenodo.org/records/19510798
"Exotic Masses Predicted - A zero-parameter nuclear mass formula, validated against 51 measured nuclei, applied to 30 unmeasured exotic isotopes",10.5281/zenodo.19452207,done,2026-04-07,2026-04-07,https://zenodo.org/records/19452207
The Standard Model Has One Address,10.5281/zenodo.19438769,done,2026-04-06,2026-04-06,https://zenodo.org/records/19438769
The Electron Is the Boundary:  The Gate Between Light and Matter,10.5281/zenodo.19420169,done,2026-04-04,2026-04-04,https://zenodo.org/records/19420169
All Fundamental Constants Lie on Two Bridge Lines,10.5281/zenodo.19402611,done,2026-04-03,2026-04-03,https://zenodo.org/records/19402611
"α⁻¹ IS THE UNIVERSAL CONVERSION RATE OF Λ, G, H₀",10.5281/zenodo.19365448,done,2026-04-01,2026-04-01,https://zenodo.org/records/19365448
The Origin of the Long-Range Forces,10.5281/zenodo.19330871,done,2026-03-30,2026-03-30,https://zenodo.org/records/19330871
The Free Parameters of Dynamics,10.5281/zenodo.19327153,done,2026-03-30,2026-03-30,https://zenodo.org/records/19327153
The Atom Without Particles,10.5281/zenodo.19320018,done,2026-03-29,2026-03-29,https://zenodo.org/records/19320018
The Stellar Fixed Point,10.5281/zenodo.19277828,done,2026-03-28,2026-03-28,https://zenodo.org/records/19277828
Deriving the Emergence of Hydrogen in the Universe,10.5281/zenodo.19263439,done,2026-03-27,2026-03-27,https://zenodo.org/records/19263439
Plato's Universe - The Complex Shadows from a Simple Geometry,10.5281/zenodo.19250797,done,2026-03-27,2026-03-27,https://zenodo.org/records/19250797
Nuclear Mass Is Derived V2,10.5281/zenodo.19233350,done,2026-03-26,2026-03-26,https://zenodo.org/records/19233350
Pentagon Physics Dynamics,10.5281/zenodo.19223786,done,2026-03-25,2026-03-25,https://zenodo.org/records/19223786
BluePrint of the Proton Presentation,10.5281/zenodo.19161724,done,2026-03-22,2026-03-22,https://zenodo.org/records/19161724
The Internal Electrodynamics of the Proton,10.5281/zenodo.19161545,done,2026-03-22,2026-03-22,https://zenodo.org/records/19161545
Why Matter Persists,10.5281/zenodo.19151933,done,2026-03-21,2026-03-21,https://zenodo.org/records/19151933
The Gauge Group Is D₄  :  How one equation produces the three forces of nature,10.5281/zenodo.19147058,done,2026-03-21,2026-03-21,https://zenodo.org/records/19147058
Majorana Neutrino Masses Derived,10.5281/zenodo.19135102,done,2026-03-20,2026-03-20,https://zenodo.org/records/19135102
The Schrödinger equation as self-referential flow on the 600-cell,10.5281/zenodo.19125869,done,2026-03-20,2026-03-20,https://zenodo.org/records/19125869
"Friedmann dynamics from the action that derives α, G, and Λ",10.5281/zenodo.19115512,done,2026-03-19,2026-03-19,https://zenodo.org/records/19115512
Why Gravity Couples to Mass - Presentation Companion,10.5281/zenodo.19109667,done,2026-03-19,2026-03-19,https://zenodo.org/records/19109667
Why Gravity Couples to Mass,10.5281/zenodo.19109094,done,2026-03-19,2026-03-19,https://zenodo.org/records/19109094
Gravity from Confinement,10.5281/zenodo.19100930,done,2026-03-18,2026-03-18,https://zenodo.org/records/19100930
Quarks Are Eigenvalues,10.5281/zenodo.19099370,done,2026-03-18,2026-03-18,https://zenodo.org/records/19099370
General Relativity and Quantum Mechanics Unified - Presentation Companion,10.5281/zenodo.19087224,done,2026-03-18,2026-03-18,https://zenodo.org/records/19087224
Why General Relativity and Quantum Mechanics Are Unified,10.5281/zenodo.19072188,done,2026-03-17,2026-03-17,https://zenodo.org/records/19072188
Amplitude from Trace,10.5281/zenodo.19035362,done,2026-03-15,2026-03-15,https://zenodo.org/records/19035362
Three Levels of Self-Reference,10.5281/zenodo.19033377,done,2026-03-15,2026-03-15,https://zenodo.org/records/19033377
Why 137,10.5281/zenodo.19029059,done,2026-03-15,2026-03-15,https://zenodo.org/records/19029059
Why the Constants Have the Values They Have,10.5281/zenodo.19022248,done,2026-02,2026-02,https://zenodo.org/records/19022248
THE GENESIS ALGEBRA,10.5281/zenodo.19019737,done,2026-03-14,2026-03-14,https://zenodo.org/records/19019737
The Eigenvalues of Reality,10.5281/zenodo.19016122,done,2026-02,2026-02,https://zenodo.org/records/19016122
The Standard Model Lives in a Single Character Table,10.5281/zenodo.19003856,done,2026-03-13,2026-03-13,https://zenodo.org/records/19003856
E₈ Is Both Roots,10.5281/zenodo.18988843,done,2026-03-12,2026-03-12,https://zenodo.org/records/18988843
The Spectral Geometry of the 600-Cell,10.5281/zenodo.18985777,done,2026-03-12,2026-03-12,https://zenodo.org/records/18985777
Nyx - Our n = 5 Universe,10.5281/zenodo.18977128,done,2026-03-12,2026-03-12,https://zenodo.org/records/18977128
The Origin of the Universe and the Emergence of Life,10.5281/zenodo.18976782,done,2026-03,2026-03,https://zenodo.org/records/18976782
The Atmospheric Neutrino Mass from Self-Reference,10.5281/zenodo.18940370,done,2026-03-10,2026-03-10,https://zenodo.org/records/18940370
The Baryon Asymmetry from Self-Reference,10.5281/zenodo.18936715,done,2026-03-10,2026-03-10,https://zenodo.org/records/18936715
Why the Standard Cosmological Causal Chain Is Backwards,10.5281/zenodo.18923820,done,2026-03-09,2026-03-09,https://zenodo.org/records/18923820
The Bridges of Pentagon Physics,10.5281/zenodo.18923674,done,2026-03-09,2026-03-09,https://zenodo.org/records/18923674
Pentagon Physics Table Taxonomy,10.5281/zenodo.18921813,done,2026-03-09,2026-03-09,https://zenodo.org/records/18921813
Quantum Mechanics Is a Shadow,10.5281/zenodo.18912877,done,2026-03-08,2026-03-08,https://zenodo.org/records/18912877
Quantum Mechanics from the 600-Cell,10.5281/zenodo.18912388,done,2026-03-08,2026-03-08,https://zenodo.org/records/18912388
The Constants Table,10.5281/zenodo.18904887,done,2026-03-07,2026-03-07,https://zenodo.org/records/18904887
Gravity Is Not a Fundamental Force,10.5281/zenodo.18903481,done,2026-03-07,2026-03-07,https://zenodo.org/records/18903481
E₈ Is Necessary,10.5281/zenodo.18901979,done,2026-03-07,2026-03-07,https://zenodo.org/records/18901979
Why φ?,10.5281/zenodo.18898322,done,2026-03-07,2026-03-07,https://zenodo.org/records/18898322
The Architecture of Pentagon Physics,10.5281/zenodo.18848339,done,2026-03-03,2026-03-03,https://zenodo.org/records/18848339
The Koide Phase from 600-Cell Closure,10.5281/zenodo.18838751,done,2026-03-02,2026-03-02,https://zenodo.org/records/18838751
Where Dimensions Come From,10.5281/zenodo.18825541,done,2026-03-01,2026-03-01,https://zenodo.org/records/18825541
The Fundamental Constants Are Not Free,10.5281/zenodo.18804690,done,2026-02-27,2026-02-27,https://zenodo.org/records/18804690
Determining the Gravitational Coupling from a Self-Referential Geometric Template,10.5281/zenodo.18767628,done,2026-02,2026-02,https://zenodo.org/records/18767628
Selecting the Koide Phase,10.5281/zenodo.18762599,done,2026-02-24,2026-02-24,https://zenodo.org/records/18762599
The Koide Stability Lemma,10.5281/zenodo.18762423,done,2026-02-24,2026-02-24,https://zenodo.org/records/18762423
Master Framework Handbook: 30 Constants from One Axiom,10.5281/zenodo.18760997,done,2026-02-24,2026-02-24,https://zenodo.org/records/18760997
The Higgs Quartic Is Not Free,10.5281/zenodo.18756247,done,2026-02-24,2026-02-24,https://zenodo.org/records/18756247
THE MACHINE THAT BUILDS ITSELF,10.5281/zenodo.18755516,done,2026-02-24,2026-02-24,https://zenodo.org/records/18755516
Predicting ΩK from φ-Damped Cosmology: Agreement with CPT-Symmetric Quantization,10.5281/zenodo.18732889,done,2026-02-22,2026-02-22,https://zenodo.org/records/18732889
The Rung Theorem,10.5281/zenodo.18727029,done,2026-02-21,2026-02-21,https://zenodo.org/records/18727029
A Cascade Model for the Proton Spin Decomposition,10.5281/zenodo.18717070,done,2026-02-20,2026-02-20,https://zenodo.org/records/18717070
The Proton–Electron Mass Ratio,10.5281/zenodo.18716359,done,2026-02-20,2026-02-20,https://zenodo.org/records/18716359
The Electron Mass Is Derived,10.5281/zenodo.18716271,done,2026-02-20,2026-02-20,https://zenodo.org/records/18716271
Why Five?,10.5281/zenodo.18680907,done,2026-02-18,2026-02-18,https://zenodo.org/records/18680907
THE SPIRAL ENGINE OF ELECTROMECHANICAL TO ELECTROMAGNETIC ENERGY,10.5281/zenodo.18679529,done,2026-02-18,2026-02-18,https://zenodo.org/records/18679529
The Constants Are Theorems:  Geometric Unification of α and Λ,10.5281/zenodo.18669206,done,2026-02-17,2026-02-17,https://zenodo.org/records/18669206
Light Has No Speed,10.5281/zenodo.18651622,done,2026-02-15,2026-02-15,https://zenodo.org/records/18651622
360 is not arbitrary,10.5281/zenodo.18647375,done,2026-02-15,2026-02-15,https://zenodo.org/records/18647375
Why Is Nature Lagrangian?,10.5281/zenodo.18632291,done,2026-02-13,2026-02-13,https://zenodo.org/records/18632291
The Edge of Everything - Where Structure Becomes Matter,10.5281/zenodo.18625127,done,2026-02-12,2026-02-12,https://zenodo.org/records/18625127
Spiral Convergence Theory,10.5281/zenodo.18624807,done,2026-02-12,2026-02-12,https://zenodo.org/records/18624807
Deriving the Fine Structure Constant,10.5281/zenodo.18624752,done,2026-02-12,2026-02-12,https://zenodo.org/records/18624752
The Universe Has No External - Why ζ = φ⁻¹,10.5281/zenodo.18624607,done,2026-02-12,2026-02-12,https://zenodo.org/records/18624607
When the Universe Stops Dancing,10.5281/zenodo.18504626,done,2026-02-06,2026-02-06,https://zenodo.org/records/18504626
Quantum Mechanics Relocated,10.5281/zenodo.18430024,done,2026-01-30,2026-01-30,https://zenodo.org/records/18430024
Primary Coherence Theory: Why Reality Runs on Golden Geometry,10.5281/zenodo.18427928,done,2026-01-30,2026-01-30,https://zenodo.org/records/18427928
φ Is the Eigenvalue of Self-Reference,10.5281/zenodo.18421638,done,2026-01-29,2026-01-29,https://zenodo.org/records/18421638
The φ-Eigengeometry of Prime Pairs,10.5281/zenodo.18421418,done,2026-01-29,2026-01-29,https://zenodo.org/records/18421418
The Mother of Time,10.5281/zenodo.18402430,done,2026-01-28,2026-01-28,https://zenodo.org/records/18402430
Self Reference Has a Signature - The golden ratio appears wherever a system looks at itself,10.5281/zenodo.18380533,done,2026-01-26,2026-01-26,https://zenodo.org/records/18380533
"Coherence as Primary: An Integrated Framework for Physics, Consciousness, and System Design",10.5281/zenodo.18370223,done,2026-01-25,2026-01-25,https://zenodo.org/records/18370223
A Golden Ratio Scaling Ansatz for the Hubble Tension,10.5281/zenodo.18354655,done,2026-01-23,2026-01-23,https://zenodo.org/records/18354655
Coherence is Light,10.5281/zenodo.18348623,done,2026-01-23,2026-01-23,https://zenodo.org/records/18348623
The Cost of Showing Up,10.5281/zenodo.18315847,done,2026-01-20,2026-01-20,https://zenodo.org/records/18315847
